ID,RegioS,Perioden,Bevolkingsdichtheid_57
432,PV28,2024JJ00,1423
433,PV28,2025JJ00,1432
434,PV29,1995JJ00,204
435,PV29,1996JJ00,205
436,PV29,1997JJ00,206
437,PV29,1998JJ00,207
438,PV29,1999JJ00,207
439,PV29,2000JJ00,206
440,PV29,2001JJ00,208
441,PV29,2002JJ00,209
442,PV29,2003JJ00,212
443,PV29,2004JJ00,212
444,PV29,2005JJ00,213
445,PV29,2006JJ00,213
446,PV29,2007JJ00,213
447,PV29,2008JJ00,213
448,PV29,2009JJ00,213
449,PV29,2010JJ00,214
450,PV29,2011JJ00,214
451,PV29,2012JJ00,214
452,PV29,2013JJ00,214
453,PV29,2014JJ00,213
454,PV29,2015JJ00,213
455,PV29,2016JJ00,214
456,PV29,2017JJ00,214
457,PV29,2018JJ00,215
458,PV29,2019JJ00,215
459,PV29,2020JJ00,215
460,PV29,2021JJ00,216
461,PV29,2022JJ00,217
462,PV29,2023JJ00,220
463,PV29,2024JJ00,220
464,PV29,2025JJ00,221
465,PV30,1995JJ00,461
466,PV30,1996JJ00,464
467,PV30,1997JJ00,467
468,PV30,1998JJ00,470
469,PV30,1999JJ00,474
470,PV30,2000JJ00,478
471,PV30,2001JJ00,482
472,PV30,2002JJ00,485
473,PV30,2003JJ00,488
474,PV30,2004JJ00,489
475,PV30,2005JJ00,490
476,PV30,2006JJ00,491
477,PV30,2007JJ00,492
478,PV30,2008JJ00,493
479,PV30,2009JJ00,495
480,PV30,2010JJ00,497
481,PV30,2011JJ00,499
482,PV30,2012JJ00,501
483,PV30,2013JJ00,503
484,PV30,2014JJ00,505
485,PV30,2015JJ00,507
486,PV30,2016JJ00,509
487,PV30,2017JJ00,512
488,PV30,2018JJ00,515
489,PV30,2019JJ00,519
490,PV30,2020JJ00,522
491,PV30,2021JJ00,525
492,PV30,2022JJ00,529
493,PV30,2023JJ00,536
494,PV30,2024JJ00,540
495,PV30,2025JJ00,544
496,PV31,1995JJ00,521
497,PV31,1996JJ00,523
498,PV31,1997JJ00,524
499,PV31,1998JJ00,525
500,PV31,1999JJ00,525
501,PV31,2000JJ00,527
502,PV31,2001JJ00,528
503,PV31,2002JJ00,528
504,PV31,2003JJ00,530
505,PV31,2004JJ00,529
506,PV31,2005JJ00,528
507,PV31,2006JJ00,526
508,PV31,2007JJ00,524
509,PV31,2008JJ00,522
510,PV31,2009JJ00,522
511,PV31,2010JJ00,522
512,PV31,2011JJ00,522
513,PV31,2012JJ00,522
514,PV31,2013JJ00,522
515,PV31,2014JJ00,521
516,PV31,2015JJ00,520
517,PV31,2016JJ00,520
518,PV31,2017JJ00,520
519,PV31,2018JJ00,520
520,PV31,2019JJ00,520
521,PV31,2020JJ00,520
522,PV31,2021JJ00,520
523,PV31,2022JJ00,521
524,PV31,2023JJ00,526
525,PV31,2024JJ00,528
526,PV31,2025JJ00,529
