ID,Regions,Periods,Within10Km_72,Within20Km_73,Within50Km_74,Within10Km_75,Within20Km_76,Within50Km_77,Within10Km_78,Within20Km_79,Within50Km_80,Within10Km_81,Within20Km_82,Within50Km_83,Within10Km_84,Within20Km_85,Within50Km_86
238,PV28,2010JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
239,PV28,2011JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
240,PV28,2012JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
241,PV28,2013JJ00,184.7,533.6,1986.4,1.8,7.2,27.1,17.6,58.7,235.5,92.1,269.5,1043.7,73.2,198.1,680.1
242,PV28,2014JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
243,PV28,2015JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
244,PV28,2016JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
245,PV28,2017JJ00,203.6,580.0,2142.4,1.9,7.6,27.3,17.4,57.8,235.3,103.8,299.1,1145.5,76.0,203.0,690.8
246,PV28,2018JJ00,206.4,587.0,2187.9,1.9,7.3,26.4,17.0,56.2,232.0,104.5,300.6,1162.0,75.1,200.7,686.4
247,PV28,2019JJ00,215.0,611.1,2254.5,1.9,7.5,27.1,17.4,58.2,237.6,107.5,309.4,1190.3,78.9,211.2,715.0
248,PV28,2020JJ00,214.4,607.3,2265.6,1.9,7.5,27.6,17.4,58.2,240.3,109.4,314.4,1219.8,80.7,214.3,732.6
249,PV28,2021JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
250,PV28,2022JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
251,PV28,2023JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
252,PV29,2006JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
253,PV29,2007JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
254,PV29,2008JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
255,PV29,2009JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
256,PV29,2010JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
257,PV29,2011JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
258,PV29,2012JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
259,PV29,2013JJ00,20.4,37.3,153.4,0.3,0.6,2.8,3.7,7.4,30.7,8.7,16.1,68.2,7.7,13.2,51.7
260,PV29,2014JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
261,PV29,2015JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
262,PV29,2016JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
263,PV29,2017JJ00,21.0,38.8,161.3,0.3,0.6,2.9,3.6,7.2,30.3,9.1,17.0,73.4,7.8,13.4,52.0
