"Emissions to air on Dutch territory, road traffic"
""
"","","Topic"
"","","Emissions|Carbon dioxide (CO2)","Emissions|Dinitrogen oxide (N2O)","Emissions|Methane (CH4)","Emissions|Carbon monoxide (CO)","Emissions|NMVOC","Emissions|Nitrogen oxides (NOx)","Emissions|Soot","Emissions|PM10 Total (Particulate matter)","Emissions|PM10 Combustion (Particulate matter)","Emissions|PM10 Wear (Particulate matter)","Emissions|PM2.5 Total (Particulate matter)","Emissions|PM2.5 Combustion (Particulate matter)","Emissions|PM2.5 Wear (Particulate matter)","Emissions|Ammonia (NH3)","Emissions|Sulphur dioxide (SO2)","Fleet emission factor|Carbon dioxide (CO2)","Fleet emission factor|Dinitrogen oxide (N2O)","Fleet emission factor|Methane (CH4)","Fleet emission factor|Carbon monoxide (CO)","Fleet emission factor|NMVOC","Fleet emission factor|Nitrogen oxides (NOx)","Fleet emission factor|Soot","Fleet emission factor|PM10 Total (Particulate matter)","Fleet emission factor|PM10 Combustion (Particulate matter)","Fleet emission factor|PM10 Wear (Particulate matter)","Fleet emission factor|PM2.5 Total (Particulate matter)","Fleet emission factor|PM2.5 Combustion (Particulate matter)","Fleet emission factor|PM2.5 Wear (Particulate matter)","Fleet emission factor|Ammonia (NH3)","Fleet emission factor|Sulphur dioxide (SO2)"
"Means of transport","Periods","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","million kg","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km","grams/km"
"Light weight commercial motor vehicles","2017*","3626","0.09","0.22","2.78","1.08","17.06","0.33","0.71","0.41","0.30","0.46","0.41","0.05","0.07","0.02","206","0.005","0.013","0.16","0.06","0.97","0.019","0.041","0.023","0.017","0.026","0.023","0.003","0.004","0.001"
"Light weight commercial motor vehicles","2018*","3737","0.09","0.24","2.90","1.13","16.82","0.32","0.71","0.40","0.31","0.45","0.40","0.05","0.07","0.02","206","0.005","0.013","0.16","0.06","0.93","0.018","0.039","0.022","0.017","0.025","0.022","0.003","0.004","0.001"
"Light weight commercial motor vehicles","2019*","3834","0.10","0.26","2.88","1.19","15.55","0.26","0.65","0.33","0.33","0.38","0.33","0.05","0.08","0.02","206","0.005","0.014","0.16","0.06","0.84","0.014","0.035","0.018","0.018","0.021","0.018","0.003","0.004","0.001"
"Light weight commercial motor vehicles","2020*","3726","0.10","0.25","2.87","1.14","12.86","0.20","0.58","0.26","0.32","0.31","0.26","0.05","0.10","0.02","206","0.005","0.014","0.16","0.06","0.71","0.011","0.032","0.014","0.018","0.017","0.014","0.003","0.006","0.001"
"Light weight commercial motor vehicles","2021*","3889","0.11","0.25","3.42","1.16","12.21","0.18","0.57","0.23","0.34","0.29","0.23","0.06","0.15","0.02","207","0.006","0.013","0.18","0.06","0.65","0.010","0.030","0.012","0.018","0.015","0.012","0.003","0.008","0.001"
"Light weight commercial motor vehicles","2022*","3951","0.12","0.24","3.79","1.12","11.26","0.15","0.55","0.20","0.35","0.26","0.20","0.06","0.18","0.02","207","0.006","0.013","0.20","0.06","0.59","0.008","0.029","0.011","0.018","0.014","0.011","0.003","0.009","0.001"
"Light weight commercial motor vehicles","2023*","3963","0.12","0.23","4.16","1.06","10.24","0.13","0.53","0.18","0.35","0.24","0.18","0.06","0.18","0.02","206","0.006","0.012","0.22","0.05","0.53","0.007","0.027","0.009","0.018","0.012","0.009","0.003","0.010","0.001"
"Heavy weight commercial motor vehicles","2017*","6542","0.35","0.18","8.41","4.05","28.93","0.17","0.90","0.31","0.58","0.41","0.31","0.10","0.40","0.04","866","0.047","0.023","1.11","0.54","3.83","0.022","0.119","0.042","0.077","0.055","0.042","0.013","0.052","0.006"
"Heavy weight commercial motor vehicles","2018*","6584","0.36","0.18","8.11","4.12","28.23","0.17","0.90","0.32","0.58","0.41","0.32","0.10","0.42","0.04","870","0.047","0.024","1.07","0.54","3.73","0.022","0.118","0.042","0.077","0.055","0.042","0.013","0.055","0.006"
"Heavy weight commercial motor vehicles","2019*","6638","0.36","0.19","7.12","4.27","26.06","0.16","0.88","0.30","0.59","0.40","0.30","0.10","0.48","0.04","870","0.047","0.024","0.93","0.56","3.42","0.020","0.116","0.039","0.077","0.052","0.039","0.013","0.062","0.006"
"Heavy weight commercial motor vehicles","2020*","6631","0.36","0.19","6.09","4.33","23.10","0.14","0.86","0.27","0.59","0.37","0.27","0.10","0.53","0.04","873","0.048","0.025","0.80","0.57","3.04","0.019","0.113","0.035","0.078","0.048","0.035","0.013","0.070","0.006"
"Heavy weight commercial motor vehicles","2021*","6768","0.37","0.19","5.72","4.44","22.56","0.14","0.87","0.27","0.60","0.37","0.27","0.10","0.57","0.04","876","0.048","0.025","0.74","0.57","2.92","0.018","0.112","0.034","0.078","0.048","0.034","0.013","0.073","0.006"
"Heavy weight commercial motor vehicles","2022*","6988","0.38","0.20","5.49","4.61","22.74","0.14","0.89","0.27","0.62","0.37","0.27","0.10","0.61","0.05","878","0.048","0.025","0.69","0.58","2.86","0.017","0.112","0.034","0.078","0.047","0.034","0.013","0.077","0.006"
"Heavy weight commercial motor vehicles","2023*","6832","0.38","0.20","5.10","4.65","21.81","0.14","0.87","0.26","0.61","0.37","0.26","0.10","0.63","0.04","880","0.049","0.026","0.66","0.60","2.81","0.017","0.112","0.034","0.078","0.047","0.034","0.013","0.081","0.006"
"Buses","2017*","523","0.02","0.07","0.46","0.17","1.67","0.02","0.08","0.03","0.05","0.04","0.03","0.01","0.01","0.00","842","0.032","0.113","0.73","0.27","2.68","0.029","0.122","0.046","0.076","0.058","0.046","0.012","0.009","0.005"
"Buses","2018*","522","0.02","0.07","0.45","0.17","1.63","0.02","0.08","0.03","0.05","0.04","0.03","0.01","0.01","0.00","825","0.032","0.108","0.71","0.27","2.59","0.028","0.120","0.045","0.076","0.057","0.045","0.012","0.009","0.005"
"Buses","2019*","494","0.02","0.07","0.43","0.17","1.41","0.01","0.07","0.02","0.05","0.03","0.02","0.01","0.01","0.00","802","0.031","0.111","0.69","0.27","2.29","0.024","0.116","0.039","0.076","0.052","0.039","0.012","0.008","0.004"
"Buses","2020*","383","0.01","0.06","0.33","0.13","0.95","0.01","0.05","0.02","0.04","0.02","0.02","0.01","0.00","0.00","775","0.030","0.117","0.68","0.26","1.93","0.019","0.109","0.032","0.077","0.045","0.032","0.013","0.007","0.004"
"Buses","2021*","339","0.01","0.06","0.32","0.12","0.79","0.01","0.05","0.01","0.04","0.02","0.01","0.01","0.00","0.00","697","0.027","0.130","0.65","0.25","1.62","0.015","0.104","0.027","0.077","0.040","0.027","0.013","0.006","0.004"
"Buses","2022*","326","0.01","0.06","0.30","0.12","0.73","0.01","0.05","0.01","0.04","0.02","0.01","0.01","0.00","0.00","665","0.027","0.123","0.61","0.25","1.50","0.014","0.103","0.026","0.077","0.038","0.026","0.013","0.005","0.004"
"Buses","2023*","314","0.01","0.06","0.28","0.12","0.68","0.01","0.05","0.01","0.04","0.02","0.01","0.01","0.00","0.00","651","0.026","0.121","0.58","0.25","1.41","0.013","0.101","0.024","0.077","0.037","0.024","0.013","0.005","0.004"
"Source: CBS"
