;1996;2000;2003;2006;2008;2010;2012;2015;2017
GM0070;('295', '33');('292', '34');('294', '46');('296', '43');('274', '43');('293', '44');('273', '44');('262', '43')
GM1921;('', '');('', '');('', '');('', '');('', '');('', '');('', '');('863', '65')
GM0653;('216', '5');('216', '5');('213', '6');('206', '6');('206', '5');('208', '1');('207', '1');('', '')
GM0115;('88', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0236;('424', '8');('417', '8');('440', '15');('445', '17');('457', '16');('448', '16');('464', '16');('460', '16')
GM0781;('62', '20');('63', '22');('63', '34');('', '');('', '');('', '');('', '');('', '')
GM1771;('', '');('', '');('', '');('120', '37');('119', '39');('120', '39');('119', '51');('119', '53')
GM0906;('147', '14');('143', '14');('', '');('', '');('', '');('', '');('', '');('', '')
GM0782;('141', '18');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM1652;('', '');('271', '26');('266', '26');('266', '24');('265', '23');('267', '24');('267', '24');('266', '24')
GM0237;('170', '15');('172', '12');('171', '13');('', '');('', '');('', '');('', '');('', '')
GM0238;('32', '0');('32', '1');('', '');('', '');('', '');('', '');('', '');('', '')
GM0154;('74', '24');('75', '19');('', '');('', '');('', '');('', '');('', '');('', '')
GM0689;('209', '0');('209', '0');('194', '6');('204', '6');('201', '5');('203', '5');('201', '5');('198', '5')
GM0116;('120', '15');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0511;('278', '15');('284', '15');('284', '8');('283', '9');('287', '3');('280', '3');('269', '3');('', '')
GM1924;('', '');('', '');('', '');('', '');('', '');('', '');('', '');('905', '47')
GM0156;('41', '11');('41', '12');('', '');('', '');('', '');('', '');('', '');('', '')
GM0239;('204', '2');('176', '2');('177', '11');('', '');('', '');('', '');('', '');('', '')
GM0693;('147', '0');('151', '0');('150', '0');('161', '0');('158', '0');('156', '0');('156', '0');('', '')
GM0365;('68', '5');('64', '8');('68', '10');('66', '8');('66', '8');('65', '8');('55', '8');('', '')
GM0157;('180', '8');('184', '8');('', '');('', '');('', '');('', '');('', '');('', '')
GM0786;('75', '31');('76', '32');('74', '37');('75', '36');('78', '36');('75', '39');('74', '38');('71', '38')
GM0390;('49', '0');('46', '0');('', '');('', '');('', '');('', '');('', '');('', '')
GM0517;('63', '1');('66', '1');('70', '5');('75', '3');('', '');('', '');('', '');('', '')
GM0518;('341', '495');('339', '520');('528', '531');('521', '648');('538', '655');('536', '655');('537', '672');('536', '688')
GM0787;('12', '2');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0519;('97', '11');('98', '12');('95', '16');('', '');('', '');('', '');('', '');('', '')
GM0240;('38', '22');('39', '23');('41', '23');('330', '49');('', '');('', '');('', '');('', '')
GM0241;('78', '17');('77', '14');('80', '9');('81', '9');('85', '9');('85', '9');('84', '7');('189', '27')
Groningen;('200', '98');('202', '98');('202', '150');('209', '135');('209', '137');('222', '137');('222', '137');('231', '137')
GM0015;('152', '12');('154', '12');('155', '15');('156', '33');('154', '38');('164', '37');('163', '37');('163', '37')
GM0912;('80', '2');('81', '2');('', '');('', '');('', '');('', '');('', '');('', '')
GM0913;('75', '12');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM1729;('', '');('179', '15');('189', '24');('192', '24');('194', '24');('189', '23');('170', '21');('169', '21')
GM0788;('102', '0');('125', '0');('128', '12');('128', '12');('134', '12');('135', '12');('137', '12');('135', '12')
GM0393;('116', '1');('106', '2');('111', '5');('129', '4');('131', '4');('126', '1');('124', '0');('120', '0')
GM0914;('87', '9');('88', '10');('90', '21');('97', '22');('', '');('', '');('', '');('', '')
GM0789;('88', '31');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0159;('121', '1');('122', '1');('', '');('', '');('', '');('', '');('', '');('', '')
GM0523;('81', '15');('76', '16');('89', '15');('88', '11');('90', '11');('86', '11');('85', '12');('90', '12')
GM0017;('106', '17');('103', '17');('103', '16');('98', '14');('100', '15');('102', '14');('98', '16');('98', '16')
GM0395;('195', '21');('195', '21');('192', '31');('188', '32');('190', '30');('191', '20');('178', '20');('', '')
GM0318;('84', '6');('84', '6');('', '');('', '');('', '');('', '');('', '');('', '')
GM0161;('97', '2');('98', '2');('', '');('', '');('', '');('', '');('', '');('', '')
GM0117;('206', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0245;('64', '1');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
